,data_indexes,lables,Latitude,Longitude,Parent Incident Type
2337,2492,1,42.936,-78.904,Theft
2341,2496,1,42.926,-78.877,Theft of Vehicle
2344,2499,1,42.944,-78.867,Breaking & Entering
2348,2503,1,42.94,-78.907,Theft
2351,2506,1,42.926,-78.879,Theft of Vehicle
2365,2520,1,42.937,-78.899,Theft of Vehicle
2367,2524,1,42.942,-78.907,Theft
2368,2525,1,42.953,-78.879,Theft
2371,2528,1,42.952,-78.907,Theft
2373,2531,1,42.954,-78.878,Theft
2375,2533,1,42.92,-78.888,Theft of Vehicle
2377,2535,1,42.925,-78.874,Theft
2378,2536,1,42.953,-78.864,Assault
2381,2539,1,42.961,-78.898,Theft
2382,2540,1,42.944,-78.908,Theft
2392,2552,1,42.94,-78.907,Theft
2404,2564,1,42.951,-78.869,Robbery
2405,2565,1,42.925,-78.896,Theft
2407,2567,1,42.919,-78.893,Theft of Vehicle
2409,2569,1,42.941,-78.874,Theft
2410,2570,1,42.92,-78.89,Theft
2415,2576,1,42.957,-78.908,Robbery
2418,2579,1,42.958,-78.853,Theft of Vehicle
2422,2583,1,42.945,-78.868,Theft
2430,2592,1,42.937,-78.891,Breaking & Entering
2434,2596,1,42.95,-78.907,Theft
2449,2613,1,42.922,-78.884,Theft of Vehicle
2450,2614,1,42.948,-78.884,Theft
2459,2623,1,42.924,-78.887,Theft
2460,2624,1,42.955,-78.878,Theft
2461,2625,1,42.943,-78.868,Theft
2464,2628,1,42.924,-78.885,Breaking & Entering
2469,2633,1,42.952,-78.903,Theft of Vehicle
2475,2639,1,42.916,-78.9,Theft
2486,2653,1,42.919,-78.89,Theft
2487,2654,1,42.955,-78.898,Theft of Vehicle
2488,2655,1,42.954,-78.906,Theft of Vehicle
2492,2659,1,42.922,-78.877,Robbery
2495,2662,1,42.948,-78.869,Breaking & Entering
2496,2663,1,42.954,-78.897,Breaking & Entering
2511,2678,1,42.956,-78.869,Theft
2519,2687,1,42.92,-78.891,Breaking & Entering
2520,2688,1,42.921,-78.884,Theft
2522,2691,1,42.928,-78.884,Sexual Offense
2525,2694,1,42.927,-78.888,Theft
2527,2696,1,42.926,-78.888,Robbery
2529,2698,1,42.937,-78.891,Theft
2570,2741,1,42.95,-78.903,Theft
